---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
6.50041325,,37561.098,,25601.707,,23317.3731,,36032.6809,,25196.7724,,18963.9467,,34718.5772,,20610.3753,,21568.732,,,,
6.667073,28643.7386,,21630.4204,,19103.7015,,13443.461,,23132.8276,,10343.4667,,22857.396,,16310.2021,,18479.1373,,,,,
6.83373275,,37581.5948,,25609.1975,,23294.4776,,35717.4468,,25106.2069,,19072.2933,,34655.9195,,20535.4557,,21670.1699,,,,
7.00046825,28698.3529,,21679.7452,,19096.7463,,13453.3901,,23181.2138,,10279.8933,,22899.5973,,16264.7093,,18476.8627,,,,,
7.167128,,37691.1373,,25715.8981,,23405.4328,,35722.1277,,25145.7931,,18913.0133,,34772.0537,,20554.6887,,21590.5882,,,,
7.33378775,28720.9673,,21651.2357,,19065.6418,,13480.5957,,23204.3586,,10350.96,,22887.0336,,16279.8515,,18503.6078,,,,,
7.50044775,,37632.3399,,25683.0064,,23303.7612,,36402.6383,,25240.5517,,18941.04,,34552.5101,,20591.0103,,21605.3856,,,,
7.667183,28720.3137,,21604.9682,,18970.2687,,13448.3404,,23107.3379,,10353.8133,,22828.2953,,16256.5278,,18491.817,,,,,
7.83384275,,37601.5163,,25764.5096,,23253.4925,,36604.3121,,25196.5517,,18857.68,,34440.9128,,20581.2784,,21664.9673,,,,
8.00050275,28617.3072,,21612.5096,,19065.9403,,13500.9078,,23124.8828,,10289.7333,,22815.5705,,16288.9567,,18485.7778,,,,,
8.1671625,,37648.3399,,25705.1975,,23221.9403,,37610.6383,,25139.1448,,18688.6667,,34217.1812,,20450.5732,,21794.5882,,,,
8.33382225,28710.9542,,21610.5987,,18970.1791,,13364.8794,,23141.4345,,10348.0267,,22792.1879,,16261.4103,,18481.0719,,,,,
8.50055775,,37632.0261,,25697.4268,,23315.3134,,37488.0567,,25193.3517,,18588.96,,34543.8389,,20371.8928,,21922.9542,,,,
8.6672175,28702.8235,,21715.5669,,19054.8657,,13365.3901,,23237.5448,,10294.8,,22867.6779,,16336.3959,,18470.4837,,,,,
