---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
8.33382225,22074.5036,,8452.31746,,10945.5,,60707.021,,20343.0204,,44044.7742,,16392.0851,,,,,
8.50048225,,23142.1295,,11698.3175,,14783.5294,,55885.0909,,20046.5306,,38985.0839,,17904.3121,,,,
8.667142,22176.0288,,8439.68254,,10965.7059,,60668.6713,,20428.5986,,44036.7484,,16397.617,,,,,
8.83380175,,23214.1583,,11662.4762,,14807.1471,,55872.0559,,20001.3878,,38951.3032,,17902.156,,,,
9.00046175,22174.6187,,8431.07937,,10992.7059,,60702.6294,,20366.6395,,44065.8839,,16396.3972,,,,,
9.167197,,23175.223,,11687.9365,,14784.3824,,55836.1678,,20034.966,,39001.6516,,17843.9149,,,,
9.33385675,22285.295,,8444.22222,,10974.2353,,60679.2727,,20410.5306,,44019.5355,,16362.3546,,,,,
9.50051675,,23273.5827,,11672.2222,,14756.7647,,55902.2378,,20016.6803,,38991.3806,,17886.7801,,,,
9.6671765,22338.7338,,8421.65079,,10951.8529,,60701.6224,,20421.0612,,44011.0968,,16368.5106,,,,,
9.8338365,,23263.3381,,11679.9683,,14786.2353,,55828.979,,19981.7143,,38925.8581,,17846.0709,,,,
10.0005718,22351.0216,,8464.98413,,10985.1176,,60639.4406,,20434.7211,,44051.4839,,16400.6809,,,,,
10.1672315,,23300.4317,,11690.8889,,14752.2941,,55840,,19987.5646,,38949.1097,,17840.4539,,,,
10.3338915,22261.3525,,8408.7619,,10906.9706,,60679.4965,,20426.0136,,43985.1355,,16336.2553,,,,,
10.5005512,,23385.2086,,11655.9683,,14733.9118,,55804.7552,,19998.6395,,38918.1419,,17830.7801,,,,
10.6672865,22419.6835,,8424.31746,,10930.6176,,60705.986,,20419.8095,,43944.671,,16347.6879,,,,,
10.8339465,,23393.1511,,11675.3651,,14773.2059,,55776.2238,,19988.3537,,38920.2581,,17859.5461,,,,
