---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
8.33382225,16903.4245,,7509.5873,,8753.47059,,50848.4755,,16774.9116,,33444.2581,,12257.078,,,,,
8.50048225,,16789.7842,,10405.619,,11869.6471,,45105.2587,,16245.932,,27587.071,,13643.3759,,,,
8.667142,16848.2014,,7485.11111,,8740.08824,,50796.3916,,16785.9048,,33467.2,,12225.6738,,,,,
8.83380175,,16806.2158,,10394.6984,,11887.4706,,45099.2168,,16238.2585,,27548.6194,,13692.0567,,,,
9.00046175,16924.3165,,7516.31746,,8760.76471,,50889.007,,16786.9932,,33488.2065,,12203.8865,,,,,
9.167197,,16761.0935,,10433.4286,,11897.6471,,45068.1399,,16254.2313,,27622.8645,,13649.617,,,,
9.33385675,16925.5252,,7491.87302,,8751.76471,,50809.2867,,16741.7959,,33437.2645,,12229.7872,,,,,
9.50051675,,16868.0576,,10409.3651,,11894.5,,45061.1748,,16244.9796,,27590.1677,,13661.617,,,,
9.6671765,16881.6403,,7529.07937,,8744.61765,,50842.5175,,16792.0272,,33439.7419,,12240.9645,,,,,
9.8338365,,16776.6043,,10452,,11832.6471,,45143.3007,,16233.5782,,27572.4645,,13642.0142,,,,
10.0005718,16922.4173,,7510.7619,,8768.26471,,50770.965,,16813.1973,,33420.6968,,12241.9291,,,,,
10.1672315,,16805.2086,,10394.3492,,11883.6471,,45076.028,,16237.7415,,27584.2839,,13680.8227,,,,
10.3338915,16878.4173,,7484.57143,,8725.58824,,50807.5245,,16802.068,,33410.7097,,12229.2482,,,,,
10.5005512,,16816.6619,,10401.2698,,11876.9706,,45087.7483,,16278.7755,,27576.8,,13647.9716,,,,
10.6672865,16904.8633,,7493.14286,,8745.79412,,50907.4685,,16737.6599,,33423.6645,,12231.1206,,,,,
10.8339465,,16814.9928,,10372.6349,,11891.8235,,45161.2587,,16238.068,,27586.2968,,13647.2624,,,,
11.0006063,16903.9712,,7478.73016,,8759.55882,,50778.6573,,16805.7959,,33391.7677,,12214.4965,,,,,
11.167266,,16829.6691,,10451.2063,,11886.5882,,45065.2587,,16236.5986,,27562.2452,,13650.5816,,,,
11.333926,16871.1367,,7484.25397,,8756.85294,,50776.3357,,16819.8367,,33427.071,,12211.2057,,,,,
11.5006613,,16813.6403,,10412.9206,,11894.2353,,45042.4615,,16272.4626,,27596.9548,,13623.1206,,,,
11.667321,16892.5755,,7460.25397,,8746.97059,,50855.4965,,16762.2041,,33394.4516,,12229.4184,,,,,
11.833981,,16778.1871,,10422.4127,,11900.4118,,45125.8741,,16232.3537,,27545.8581,,13650.6667,,,,
12.0006408,16892.0288,,7502.22222,,8765.82353,,50866.3776,,16803.3469,,33428.7742,,12210.7801,,,,,
12.1673005,,16834.3597,,10403.0476,,11920.2941,,45095.4965,,16238.6395,,27596.3871,,13636.0851,,,,
12.334036,16866.8777,,7492.79365,,8787.26471,,50784.5874,,16813.1156,,33397.9355,,12195.8582,,,,,
12.5006958,,16838.2446,,10413.1111,,11915.6471,,45031.2168,,16287.2653,,27594.529,,13626.7518,,,,
12.6673555,16886.8201,,7481.14286,,8740.47059,,50870.9091,,16813.1156,,33398.1419,,12199.5461,,,,,
12.8340155,,16797.3237,,10464.6667,,11901.2059,,45054.8252,,16272.9252,,27623.2,,13612.9362,,,,
13.0006753,16868.8633,,7499.33333,,8751.79412,,50831.6364,,16785.2517,,33452.929,,12199.5745,,,,,
13.1674105,,16826.6187,,10424.9841,,11879.9412,,45162.6573,,16241.2245,,27568.2581,,13642.2695,,,,
13.3340705,16869.2662,,7533.39683,,8768.14706,,50899.5245,,16799.2925,,33430.6323,,12236.1702,,,,,
13.5007303,,16788.8633,,10438.127,,11891.6176,,45128.3077,,16285.932,,27511.9484,,13635.9716,,,,
13.66739,16852.7482,,7481.96825,,8758.79412,,50820.5874,,16820.2721,,33453.6516,,12209.1631,,,,,
13.8341255,,16799.223,,10414.4444,,11912.0588,,45108.8951,,16263.0748,,27574.8387,,13638.5816,,,,
14.0007852,16849.9856,,7475.74603,,8751.32353,,50823.1608,,16784.381,,33378.8129,,12242.0426,,,,,
14.167445,,16781.4388,,10418.9206,,11899.7059,,45092.5594,,16217.034,,27552.4387,,13617.1348,,,,
14.334105,16840.3453,,7505.39683,,8779.02941,,50831.9441,,16824.5714,,33482.6065,,12203.9716,,,,,
14.5007648,,16767.7986,,10426.3492,,11853.9412,,45129.1748,,16223.7823,,27550.2452,,13636.8511,,,,
14.6675,16885.0935,,7501.84127,,8741.14706,,50791.3566,,16784.4898,,33417.5742,,12185.9291,,,,,
14.83416,,16816.7482,,10396.0317,,11893.2059,,45144.3357,,16195.0204,,27611.7419,,13583.6312,,,,
15.0008197,16903.8273,,7509.33333,,8805.70588,,50803.3007,,16823.2109,,33429.1871,,12200.9929,,,,,
15.1674795,,16834.8777,,10441.4603,,11903.1471,,45058.5175,,16241.5782,,27566.0645,,13594.4397,,,,
15.3341395,16871.8849,,7518.98413,,8757.91176,,50880.4196,,16799.7551,,33448.1806,,12208.8511,,,,,
15.5008747,,16756.518,,10433.7778,,11889.4412,,45084.6434,,16249.3878,,27583.329,,13618.7801,,,,
15.6675345,16879.6547,,7496.34921,,8745.05882,,50784.5035,,16820.3537,,33423.2258,,12161.7021,,,,,
15.8341945,,16815.3381,,10425.9048,,11864.1765,,45089.3706,,16254.3129,,27554.7871,,13605.1348,,,,
16.0008542,16898.1295,,7488.4127,,8747.17647,,50802.7972,,16786.6122,,33383.871,,12170.4681,,,,,
16.1675142,,16838.1583,,10393.0476,,11898.9706,,45122.6014,,16269.3061,,27597.8839,,13593.4184,,,,
16.3342495,16910.1583,,7506.66667,,8753.26471,,50813.6783,,16777.5238,,33373.2129,,12192.3972,,,,,
