---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 4,ROI 4,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,-,-,-,-
11.8225,15797.3237,,7582.19048,,8389.44118,,14640.5986,,10066.6383,,,,,
11.9892,,15129.9281,,12008.4127,,12670.1176,,16403.2653,,13416.5674,,,,
12.1558,15781.554,,7562.47619,,8369.29412,,14698.9116,,10078.0993,,,,,
12.3225,,15172.8345,,12017.5238,,12693.9118,,16439.6463,,13421.1348,,,,
12.4892,15758.4173,,7566.38095,,8394.41176,,14673.6599,,10085.7589,,,,,
12.6559,,15208.9496,,12023.0794,,12699.7059,,16422.585,,13438.7518,,,,
12.8225,15686.4173,,7583.36508,,8375.61765,,14716.6531,,10040.0567,,,,,
12.9892,,15168.8921,,11997.0159,,12709.0882,,16360.1088,,13428.5674,,,,
13.1559,15801.2374,,7575.39683,,8355.70588,,14687.2381,,10073.6738,,,,,
13.3226,,15152.8633,,12001.0794,,12706.1471,,16383.5646,,13440.2553,,,,
13.4893,15847.223,,7591.84127,,8402.47059,,14702.5034,,10104.1135,,,,,
13.6559,,15144.6619,,11974.6984,,12684.2353,,16434.4218,,13462.0709,,,,
13.8226,15813.9856,,7547.46032,,8381.52941,,14704.1905,,10074.2128,,,,,
13.9892,,15113.4964,,11983.1111,,12709.7059,,16428.9252,,13392.3121,,,,
14.156,15797.0647,,7574.7619,,8368.02941,,14697.7143,,10054.0993,,,,,
14.3226,,15143.7122,,11974.9841,,12697,,16401.9864,,13397.1064,,,,
14.4893,15766.2446,,7585.52381,,8395.55882,,14677.0884,,10062.4397,,,,,
14.656,,15170.5899,,11991.873,,12701.0882,,16385.0884,,13450.4965,,,,
14.8227,15738.7626,,7573.39683,,8380.67647,,14698.068,,10051.2057,,,,,
14.9894,,15159.1655,,12015.0159,,12681.8529,,16406.0136,,13410.5248,,,,
15.156,15805.8993,,7579.04762,,8383.41176,,14688.7891,,10050.922,,,,,
15.3227,,15196.6906,,12005.1429,,12740.1176,,16354.449,,13425.3333,,,,
15.4893,15831.9137,,7581.11111,,8340.05882,,14735.4558,,10068.4539,,,,,
15.6561,,15182.3885,,12026.1587,,12734.5,,16393.5238,,13410.7801,,,,
15.8227,15869.5827,,7562.38095,,8386.38235,,14662.8299,,10082.5248,,,,,
15.9894,,15253.8993,,11988.5714,,12718.2647,,16383.5646,,13412.6809,,,,
16.156,15887.7122,,7574.7619,,8357.58824,,14684.1361,,10072.3972,,,,,
16.3227,,15144.8345,,12017.4286,,12711.4118,,16398.1769,,13461.9007,,,,
16.4894,15714.2734,,7576.57143,,8341.11765,,14671.6463,,10064.5674,,,,,
16.6561,,15133.8129,,12052.9841,,12682.5588,,16434.2857,,13453.3901,,,,
16.8228,15769.6115,,7562.12698,,8370.23529,,14685.6599,,10069.1915,,,,,
16.9894,,15156.5755,,12076.3175,,12737,,16397.5782,,13436.5957,,,,
17.1562,15821.4101,,7564.53968,,8370.47059,,14725.1429,,10023.2908,,,,,
