---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
6.50041325,,47824.2353,,30998.5478,,27446.2985,,36193.0496,,28352.1103,,21326.5867,,36117.3691,,25593.1052,,27305.6732,,,,
6.667073,35900.183,,26132.6115,,22246.3284,,15607.1206,,26873.0759,,12203.84,,25515.0872,,20278.499,,25292.8105,,,,,
6.83373275,,47944.9935,,30914.7516,,27435.3433,,36072.4255,,28440.7448,,21301.3333,,35810.7114,,25490.6722,,27483.5033,,,,
7.00039275,35896.7582,,26213.8344,,22334.5672,,15649.5319,,26812.6621,,12168.7733,,25554.7651,,20216.8412,,25355.9739,,,,,
7.167128,,47995.5556,,30832.6879,,27445.4925,,35572.9078,,28395.0345,,21252.4,,35783.1409,,25772.4701,,27832.7059,,,,
7.33378775,36077.5686,,26223.0828,,22305.1045,,15590.4113,,26847.1448,,12166.2933,,25528.2953,,20111.7361,,25414.1438,,,,,
7.50044775,,47780.8889,,30887.0828,,27509.4925,,35469.3901,,28476.3586,,21382.6133,,36134.6577,,25739.0845,,27878.0915,,,,
7.6671075,36028.9412,,26204.2548,,22309.2836,,15625.7589,,26861.1034,,12253.4667,,25485.9866,,20199.5216,,25369.5425,,,,,
7.83384275,,47889.3856,,30950.3694,,27400.8955,,36598.4397,,28464.2483,,21345.8933,,35895.8389,,25689.732,,27787.3464,,,,
8.00050275,36036.3137,,26256.6624,,22265.1343,,15613.6738,,26874.9793,,12152.5067,,25515.0604,,20261.9381,,25361.8039,,,,,
8.1671625,,47869.9869,,30959.465,,27294.0299,,36606.3262,,28398.0414,,21288.4,,35795.7047,,25622.6969,,27638.3007,,,,
8.33382225,36001.0719,,26226.4459,,22305.1642,,15647.0922,,26873.9586,,12200,,25558.953,,20267.3814,,25329.6993,,,,,
8.50048225,,47917.4118,,30976.1019,,27261.7313,,36717.7589,,28534.0138,,21146.08,,35454.255,,25477.8722,,27361.3595,,,,
