---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,F1 Event,F2 Event,F3 Event,F4 Event
Timestamp,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,,,,
11.83401,,17773.6585,,22332.381,,17406.678,,22225.113,,20897.9,,,,
12.00065,13886.1138,,16378.4762,,13698.339,,18428.6261,,15180.7333,,,,,
12.16736,,17789.7886,,22278.5079,,17432.6102,,22211.4435,,20925.5333,,,,
12.334,13896.6504,,16321.5873,,13666.5424,,18437.0435,,15190.1667,,,,,
12.5007,,17783.5122,,22291.3333,,17408.7797,,22236.5565,,20883.2667,,,,
12.66734,13931.2195,,16384.2222,,13668.0678,,18392.3826,,15172.9333,,,,,
12.83404,,17782.1789,,22296.127,,17425.0847,,22205.913,,20903.2333,,,,
13.00075,13919.0894,,16355.3968,,13690.7797,,18420.8696,,15202.8333,,,,,
13.16738,,17770.9268,,22305.1429,,17380.339,,22199.5826,,20926.3,,,,
13.33409,13915.3496,,16353.5873,,13700.2034,,18444.2783,,15187.6,,,,,
13.50073,,17770.6992,,22268.4127,,17410.9153,,22216.3478,,20937.6333,,,,
13.66743,13924.5528,,16324.6032,,13707.9661,,18459.3739,,15188.1667,,,,,
13.83407,,17826.3089,,22257.7778,,17431.9661,,22172.6261,,20928.9667,,,,
14.00077,13888.6829,,16332.381,,13753.2881,,18389.3217,,15217.8667,,,,,
14.16748,,17833.2683,,22273.873,,17406.1356,,22235.1652,,20934.8,,,,
14.33411,13943.4797,,16360.4762,,13663.0169,,18430.8522,,15176.7333,,,,,
14.50082,,17818.2114,,22323.873,,17393.0847,,22192.2783,,20915.4333,,,,
14.66746,13970.5366,,16347.9048,,13676.7458,,18443.6522,,15203.1667,,,,,
14.83416,,17807.0569,,22325.9048,,17386.2034,,22211.8957,,20946.5667,,,,
15.0008,13921.8211,,16352.6667,,13695.7627,,18468.2087,,15181.4,,,,,
15.1675,,17793.7886,,22313.6508,,17379.3898,,22237.4957,,20928.1667,,,,
15.33414,13955.5122,,16364.9206,,13691.2881,,18426.887,,15188.6,,,,,
15.50085,,17788.1626,,22301.5238,,17411.7627,,22237.113,,20920.8,,,,
15.66755,13913.4959,,16369.6825,,13680.1017,,18451.5478,,15186.6,,,,,
15.83419,,17809.3659,,22315.1429,,17420.1695,,22215.3739,,20942.5,,,,
16.00089,13944,,16353.4921,,13716.1356,,18487.7217,,15200.7333,,,,,
16.16753,,17790.3089,,22266.9524,,17410.9153,,22232.6609,,20907.2667,,,,
16.33423,13930.9268,,16358.4127,,13706.4407,,18408.9391,,15188.5,,,,,
16.50087,,17778.3089,,22308,,17400.7797,,22208.487,,20949.6,,,,
16.66758,13920.7805,,16349.9365,,13637.6949,,18441.4261,,15212.7333,,,,,
16.83428,,17774.439,,22355.3651,,17384.0339,,22222.887,,20923.1667,,,,
17.00092,13914.4715,,16343.3651,,13686.2034,,18427.3391,,15215.1333,,,,,
17.16762,,17821.0081,,22288.4762,,17425.1186,,22254.087,,20929.5333,,,,
17.33426,13911.6423,,16328.7937,,13711.3898,,18413.8435,,15171.3,,,,,
17.50097,,17796.8455,,22319.4603,,17449.8644,,22212.0696,,20918.1,,,,
17.6676,13896.4878,,16374.7302,,13703.4237,,18423.4087,,15211.5,,,,,
17.83431,,17789.3333,,22310.381,,17420.339,,22200.1391,,20896.6333,,,,
18.00101,13920.9756,,16363.6508,,13747.322,,18424.8348,,15177.9,,,,,
18.16765,,17796.813,,22324.7302,,17403.7627,,22225.3913,,20881.8667,,,,
18.33435,13897.4634,,16358,,13731.5932,,18418.4696,,15169.5,,,,,
18.50099,,17785.3333,,22301.9365,,17410.2712,,22246.6435,,20896.9333,,,,
18.6677,13917.626,,16333.3333,,13690.4407,,18407.4087,,15205.7,,,,,
18.83434,,17791.7724,,22320.9524,,17453.9322,,22243.6174,,20912.7667,,,,
19.00104,13894.5691,,16362.0317,,13704.9831,,18453.1478,,15177,,,,,
19.16774,,17792.2927,,22302.5397,,17425.0508,,22220.8,,20896.4667,,,,
19.33438,13930.6341,,16368.7302,,13747.322,,18450.0174,,15205.4333,,,,,
19.50109,,17796.3577,,22323.8095,,17480,,22261.1478,,20927.5333,,,,
19.66772,13893.5285,,16377.5873,,13758.8814,,18469.8087,,15174.3333,,,,,
19.83443,,17798.8943,,22343.4921,,17475.2203,,22245.4609,,20929.5,,,,
20.00107,13914.0488,,16372.9206,,13752.1356,,18461.8435,,15187.3667,,,,,
20.16777,,17780.8455,,22327.1746,,17448.4068,,22275.3043,,20895.1,,,,
20.33441,13934.0813,,16365.1429,,13747.5254,,18452.9739,,15176.4333,,,,,
20.50111,,17764.878,,22296.9206,,17469.4576,,22236.6957,,20911.8333,,,,
20.66782,13929.2683,,16346.8254,,13727.0847,,18431.8261,,15199,,,,,
20.83445,,17792.6829,,22351.2698,,17459.7288,,22239.3739,,20934.9333,,,,
21.00116,13925.9512,,16347.8095,,13767.0847,,18430.5043,,15197.8667,,,,,
21.1678,,17792.4228,,22323.8095,,17466.1017,,22211.8609,,20911.1667,,,,
21.3345,13915.8374,,16363.2698,,13726.3051,,18469.4261,,15177.8333,,,,,
21.50114,,17828.3577,,22318.5714,,17455.8983,,22212.3826,,20940.1667,,,,
21.66784,13890.439,,16387.0159,,13731.7627,,18486.6087,,15226.6,,,,,
21.83455,,17814.1463,,22338.6349,,17459.2203,,22231.6174,,20926.4,,,,
22.00119,13924.748,,16334.4127,,13703.9661,,18444.3826,,15201.0333,,,,,
