---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,F1 Event,F2 Event,F3 Event,F4 Event
Timestamp,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,,,,
424.35589,13983.2195,,16342.4762,,13671.4237,,18388.313,,15177.9667,,,,,
424.52252,,17821.0081,,22370.4444,,17407.4237,,22193.9478,,20863.8,,,,
424.68923,13988.2276,,16283.8413,,13688.9831,,18367.0957,,15186.4667,,,,,
424.85587,,17844.5854,,22355.2381,,17390,,22210.8174,,20828.4,,,,
425.02257,13962.7642,,16331.5556,,13663.7627,,18389.4957,,15178.7333,,,,,
425.18921,,17812.6829,,22290.7619,,17400.7458,,22166.0522,,20872.1333,,,,
425.35591,13994.6992,,16300.7619,,13661.3898,,18367.2,,15152.9667,,,,,
425.52262,,17819.252,,22302.7937,,17404.339,,22220.6609,,20853.3333,,,,
425.68925,13998.3415,,16336.1587,,13677.8983,,18396.2783,,15191.0667,,,,,
425.85596,,17835.0569,,22311.7778,,17378.0339,,22199.8609,,20850.2333,,,,
426.0226,13994.5041,,16359.9683,,13690,,18422.5043,,15169.2333,,,,,
426.1893,,17858.4065,,22310.8254,,17353.2203,,22192.9043,,20848.1333,,,,
426.35594,13974.0813,,16339.2063,,13686.2373,,18380.9391,,15161.8,,,,,
426.52264,,17831.2846,,22312.9524,,17412.6102,,22174.5739,,20867.1,,,,
426.68928,13990.6667,,16320.6032,,13690.7119,,18374.887,,15183.8667,,,,,
426.85599,,17821.8862,,22357.2063,,17370.4746,,22178.5391,,20811.9333,,,,
427.02269,13959.5772,,16309.0794,,13703.6271,,18393.0087,,15161.1,,,,,
427.18933,,17797.9512,,22291.7778,,17390.339,,22207.5826,,20865.1333,,,,
427.35603,13934.5691,,16291.8413,,13662.2373,,18375.9304,,15145.9333,,,,,
427.52267,,17786.2114,,22308.4762,,17419.1864,,22200.1391,,20833.2,,,,
427.68937,13963.8049,,16302.9206,,13713.4576,,18347.4783,,15149.8667,,,,,
427.85601,,17801.626,,22338.6667,,17382.7458,,22170.1565,,20842.2,,,,
428.02272,13957.3008,,16300.9206,,13699.6949,,18386.2261,,15164.6,,,,,
428.18942,,17766.8618,,22301.4603,,17396.7119,,22206.0174,,20839.5667,,,,
428.35606,13967.122,,16315.1429,,13688.9831,,18357.6348,,15175.0333,,,,,
428.52276,,17779.0244,,22309.0794,,17402.1356,,22189.1478,,20838.9333,,,,
428.6894,13957.6911,,16295.2698,,13687.322,,18346.0522,,15184,,,,,
428.85611,,17799.5772,,22318.254,,17378.5424,,22226.6087,,20851.7333,,,,
429.02274,13950.9919,,16305.9365,,13682.9492,,18388.4522,,15160.5333,,,,,
429.18945,,17776.4553,,22310.6984,,17375.6949,,22196.8696,,20837.1667,,,,
429.35615,13963.9675,,16301.4286,,13689.7627,,18335.7565,,15153.1667,,,,,
429.52279,,17812.4878,,22303.4286,,17395.8644,,22184.487,,20846.9667,,,,
429.68949,13981.0081,,16328.4762,,13690.9492,,18369.4957,,15197.9667,,,,,
429.85613,,17816.065,,22305.4921,,17383.8644,,22180.9391,,20854.1,,,,
430.02284,13937.4309,,16318.0635,,13677.6271,,18347.6174,,15158.4333,,,,,
430.18948,,17809.6585,,22273.9683,,17414.3729,,22183.4783,,20833.8333,,,,
430.35618,13927.5447,,16330.381,,13682.7797,,18371.4087,,15167,,,,,
430.52288,,17805.1057,,22313.5873,,17436.5763,,22207.7217,,20838.6333,,,,
430.68952,13944,,16306.9206,,13656.3051,,18364.8348,,15187.5667,,,,,
430.85622,,17777.9837,,22304.2222,,17400.1356,,22180.8696,,20850.4667,,,,
431.02286,13958.2439,,16331.9048,,13682.8136,,18374.887,,15162.6,,,,,
431.18957,,17813.0407,,22320.9524,,17427.0169,,22228.4522,,20846.0667,,,,
431.35621,13939.6748,,16307.6508,,13666.9153,,18390.3304,,15168.3333,,,,,
431.52291,,17783.3496,,22306.5714,,17394.5085,,22193.9478,,20833.4667,,,,
431.68955,13916.1626,,16287.873,,13673.1186,,18360.4174,,15152.9333,,,,,
431.85625,,17771.5772,,22301.8095,,17377.661,,22197.6348,,20877.6,,,,
432.02296,13952.0976,,16308.5714,,13679.3898,,18373.3565,,15193.4,,,,,
432.18959,,17758.6667,,22287.4603,,17411.6949,,22190.3652,,20820.8,,,,
432.3563,13938.7642,,16299.4603,,13649.0169,,18376,,15172.7667,,,,,
432.52294,,17795.9675,,22304.4127,,17420.7797,,22153.3217,,20854.6,,,,
432.68964,13938.439,,16325.9683,,13696.2034,,18406.2261,,15171.7333,,,,,
432.85628,,17732.4553,,22300.6667,,17391.9661,,22190.4696,,20822.5667,,,,
433.02298,13911.935,,16294.4127,,13672.9492,,18388.9043,,15124.3667,,,,,
433.18969,,17735.0569,,22297.6825,,17385.9322,,22156.1391,,20862,,,,
433.35633,13931.8374,,16313.3651,,13677.3898,,18367.8957,,15164.9333,,,,,
433.52303,,17746.1789,,22322.9206,,17411.6271,,22201.8087,,20862.3,,,,
433.68967,13916.4553,,16294.9206,,13691.9322,,18350.1217,,15202,,,,,
433.85637,,17716.2276,,22309.5238,,17377.7966,,22213.7043,,20911.4,,,,
434.02301,13924.3577,,16349.0159,,13653.1525,,18383.0609,,15179.6667,,,,,
434.18971,,17733.0732,,22361.8413,,17391.3898,,22209.0783,,20864.2,,,,
434.35642,13936.8455,,16339.0794,,13688.8814,,18399.6522,,15176.5333,,,,,
434.52306,,17725.2358,,22334.4762,,17389.6271,,22182.9565,,20898.1667,,,,
434.68976,13930.1138,,16335.3016,,13647.6271,,18396.4174,,15168.7,,,,,
434.8564,,17735.3496,,22339.5556,,17409.2881,,22273.8783,,20833.7667,,,,
435.0231,13936.9756,,16341.6508,,13666,,18374.3652,,15171.4667,,,,,
435.18974,,17759.4797,,22325.0159,,17368.8475,,22217.1826,,20889.9,,,,
435.35644,13932.4878,,16313.3651,,13646.2712,,18380.9739,,15165,,,,,
435.52308,,17731.8374,,22332.4444,,17347.4915,,22199.7913,,20887.2,,,,
435.68979,13922.0813,,16346.4127,,13667.9661,,18365.0783,,15159.7333,,,,,
435.85649,,17749.3659,,22374,,17367.4237,,22160.1043,,20878.3667,,,,
436.02313,13919.6423,,16294.6984,,13642.4746,,18366.6435,,15158.3333,,,,,
436.18983,,17778.9919,,22335.2698,,17383.4915,,22172.487,,20883.4,,,,
436.35647,13928.5203,,16282.2222,,13637.5254,,18375.4435,,15182.2667,,,,,
436.52318,,17735.6423,,22330.1905,,17424.1695,,22216.6261,,20940.0333,,,,
436.68981,13912.7154,,16280.5397,,13675.2881,,18374.6783,,15180.6667,,,,,
436.85652,,17755.3171,,22279.3968,,17384.4407,,22194.713,,20905.1,,,,
437.02322,13894.6016,,16264.6984,,13664.8475,,18367.5478,,15155.4667,,,,,
437.18986,,17727.9675,,22294.0317,,17384.6441,,22175.3391,,20892.3333,,,,
437.35656,13930.0163,,16300.0952,,13648.4746,,18375.513,,15205.1333,,,,,
437.5232,,17727.7398,,22335.4921,,17400.3729,,22226.5391,,20897.7333,,,,
437.68991,13923.7724,,16324.6032,,13687.9661,,18358.887,,15151.7333,,,,,
437.85655,,17707.5122,,22333.5238,,17405.3559,,22172.3478,,20877.1333,,,,
438.02325,13903.3496,,16336.6667,,13661.8983,,18383.4783,,15130.7333,,,,,
438.18995,,17723.4797,,22327.3016,,17409.6949,,22149.7043,,20862.3333,,,,
438.35659,13908.3902,,16311.3016,,13651.9661,,18363.7217,,15158.2333,,,,,
438.5233,,17703.9675,,22383.4286,,17385.9322,,22217.4609,,20869,,,,
438.68993,13931.2195,,16299.873,,13651.7966,,18359.7217,,15161.8,,,,,
438.85664,,17699.7073,,22335.5556,,17411.2881,,22194.1565,,20881,,,,
439.02328,13876.1951,,16330.8254,,13653.7627,,18390.2957,,15189.1,,,,,
439.18998,,17724.4553,,22326.1587,,17375.6271,,22196.7652,,20870.3,,,,
439.35662,13863.187,,16288.6667,,13675.0169,,18375.8609,,15136.8,,,,,
439.52332,,17716.2927,,22354.6032,,17404.9492,,22152.5565,,20850.9667,,,,
439.69003,13883.1545,,16294,,13653.7627,,18406.0522,,15162.3,,,,,
439.85667,,17675.8374,,22328.9841,,17420.8136,,22196.3478,,20858.9333,,,,
440.02337,13873.2358,,16298.9841,,13671.1525,,18384.2783,,15197.2667,,,,,
440.19001,,17663.8374,,22344.8571,,17399.2881,,22177.9826,,20849.0667,,,,
440.35671,13872.2276,,16300.8571,,13667.4237,,18338.8522,,15150.3333,,,,,
440.52335,,17687.2195,,22323.7143,,17391.2542,,22225.1478,,20893.3667,,,,
440.69005,13850.374,,16299.5873,,13674.8814,,18358.887,,15181.9667,,,,,
440.85676,,17692.5528,,22302.9524,,17398.7119,,22218.887,,20876.3,,,,
441.0234,13879.8374,,16318.5714,,13659.2881,,18383.0957,,15174,,,,,
441.1901,,17674.9268,,22332.4762,,17386.1017,,22188.0348,,20891.1333,,,,
441.35674,13862.5041,,16293.9048,,13679.7966,,18409.7043,,15178.4667,,,,,
441.52344,,17710.8943,,22324.0952,,17379.4576,,22219.7913,,20887.4333,,,,
441.69008,13866.0488,,16278.1587,,13679.0847,,18422.6435,,15189.3667,,,,,
441.85678,,17689.7561,,22319.4603,,17387.6271,,22212.9391,,20890.3,,,,
442.02349,13846.9593,,16294.5079,,13672.6441,,18387.2696,,15151.1667,,,,,
442.19013,,17706.374,,22344.9841,,17422.6441,,22155.1652,,20840.1,,,,
442.35683,13878.7317,,16283.3333,,13671.8305,,18345.9826,,15165.5667,,,,,
442.52347,,17720.0325,,22317.9365,,17412.0678,,22254.887,,20831.2667,,,,
442.69017,13883.2195,,16277.619,,13666.3051,,18397.0087,,15160.4667,,,,,
442.85681,,17700.6829,,22328.6032,,17396.3729,,22188.3478,,20871.9333,,,,
443.02352,13870.4715,,16298.1587,,13691.2881,,18402.087,,15173.6667,,,,,
443.19022,,17667.7724,,22362.6349,,17390.6441,,22174.9913,,20872.6667,,,,
443.35686,13890.3415,,16323.8413,,13675.7288,,18399.9652,,15137.1667,,,,,
443.52356,,17709.3984,,22354.1587,,17389.4915,,22215.2696,,20915.7333,,,,
443.6902,13891.0894,,16287.3651,,13673.1186,,18398.5391,,15126.9667,,,,,
443.8569,,17693.8211,,22342.1905,,17385.0847,,22230.3304,,20881.8333,,,,
444.02354,13885.7561,,16297.5556,,13696.7119,,18382.9565,,15184.4333,,,,,
444.19025,,17716.9756,,22357.873,,17387.5254,,22204.3478,,20869.7333,,,,
444.35689,13865.6911,,16288.254,,13676.1017,,18364.8696,,15196.4,,,,,
444.52359,,17702.6667,,22339.4603,,17401.5932,,22212.2435,,20874.2333,,,,
444.69029,13862.8943,,16287.3016,,13671.1864,,18394.887,,15177.4667,,,,,
444.85693,,17699.122,,22366.8889,,17418.0339,,22231.0957,,20908.2,,,,
445.02364,13864,,16300.1587,,13687.7966,,18346.1913,,15162.1667,,,,,
445.19027,,17687.5447,,22331.5873,,17396.0339,,22193.7043,,20916.4667,,,,
445.35698,13860.813,,16300.7302,,13678.4746,,18382.4,,15157.7333,,,,,
445.52362,,17684.4878,,22349.873,,17356.3051,,22197.8783,,20904.1,,,,
445.69032,13840.2927,,16329.619,,13682.339,,18386.4,,15189.7333,,,,,
445.85702,,17663.5122,,22355.8413,,17402.8136,,22186.1565,,20929.0333,,,,
446.02366,13878.6667,,16300.6667,,13651.4576,,18365.4609,,15188.4333,,,,,
446.19037,,17662.2439,,22321.3016,,17422.4407,,22200.4522,,20936.9333,,,,
446.357,13872.5203,,16294.9841,,13692.8814,,18396.8348,,15167.0667,,,,,
446.52371,,17683.5772,,22322.9841,,17419.4576,,22243.6174,,20862.5,,,,
446.69035,13869.9187,,16322.7619,,13656.2712,,18402.1913,,15170.4333,,,,,
446.85705,,17684.3252,,22324.2857,,17427.2203,,22189.9478,,20870.8667,,,,
447.02375,13838.0488,,16305.2381,,13657.9322,,18401.4609,,15116.0667,,,,,
447.19039,,17696.065,,22307.9048,,17395.0847,,22213.2522,,20875.6667,,,,
447.3571,13852.1301,,16339.9683,,13672.7458,,18367.9652,,15178.2,,,,,
447.52374,,17670.2764,,22364.8254,,17412.9492,,22184.2087,,20839.1333,,,,
447.69044,13845.2358,,16293.873,,13653.8983,,18420.2087,,15163.5,,,,,
447.85708,,17689.7561,,22313.5238,,17380.9831,,22174.2609,,20888.1667,,,,
448.02378,13867.0569,,16299.3333,,13643.4576,,18395.8957,,15187.2333,,,,,
448.19042,,17655.252,,22342.5079,,17375.8644,,22184.1391,,20882.9333,,,,
448.35712,13861.5285,,16312.6032,,13680.9831,,18387.2348,,15194.0333,,,,,
448.52383,,17651.122,,22325.7778,,17375.0508,,22217.4609,,20886.0333,,,,
448.69047,13850.374,,16328.4762,,13663.322,,18365.4957,,15205.2333,,,,,
448.85717,,17714.9919,,22345.5238,,17395.2203,,22183.5478,,20870.8667,,,,
449.02381,13890.0163,,16294.7302,,13660.1695,,18399.8261,,15177.3,,,,,
449.19051,,17641.1057,,22331.7778,,17418,,22175.2348,,20862.2333,,,,
449.35715,13863.8374,,16262.9206,,13681.2203,,18412.3478,,15154.7,,,,,
449.52386,,17686.7317,,22312.8254,,17435.0847,,22218.2957,,20919.3,,,,
449.69056,13886.7967,,16263.2698,,13641.8644,,18391.6174,,15180.5667,,,,,
449.8572,,17661.4959,,22330.4444,,17374.1017,,22229.7043,,20914.7333,,,,
450.0239,13844.2276,,16331.746,,13659.6271,,18346.2609,,15155.7333,,,,,
450.19054,,17655.3821,,22326.4127,,17392.8475,,22231.3739,,20879.9,,,,
450.35724,13873.3008,,16310.6349,,13694.1017,,18380.7652,,15159.7,,,,,
450.52388,,17673.8862,,22365.0794,,17428.678,,22180.5565,,20878.1,,,,
450.69059,13839.252,,16361.873,,13643.5254,,18380.4174,,15198.1,,,,,
450.85729,,17660,,22323.746,,17429.1864,,22191.6174,,20872.1333,,,,
451.02393,13858.2114,,16368.1905,,13666.2373,,18350.7478,,15153.9667,,,,,
451.19063,,17647.2846,,22343.3651,,17354.3051,,22195.0261,,20865.6333,,,,
451.35727,13864.065,,16377.3333,,13675.2542,,18406.5739,,15207.0333,,,,,
451.52397,,17650.9919,,22359.1111,,17387.7627,,22177.9478,,20867.6,,,,
451.69061,13867.8049,,16388.8254,,13673.1525,,18386.5043,,15165.2667,,,,,
451.85732,,17643.8699,,22381.619,,17405.4237,,22150.6435,,20850.3667,,,,
452.02396,13828.5203,,16377.619,,13661.322,,18373.5652,,15165.3667,,,,,
452.19066,,17641.8862,,22361.7143,,17364.1356,,22190.6783,,20858.9333,,,,
452.35736,13844.3252,,16318.2857,,13663.8305,,18387.1652,,15180.5667,,,,,
452.524,,17604.1301,,22361.9683,,17427.9322,,22181.2522,,20870.7,,,,
452.69071,13856.7154,,16314.0635,,13685.3559,,18386.087,,15164,,,,,
452.85734,,17639.9024,,22388.3492,,17362.6441,,22228.2783,,20871.3333,,,,
453.02405,13835.4472,,16291.6508,,13680.4746,,18398.2261,,15169.6667,,,,,
453.19069,,17643.935,,22375.2063,,17377.4576,,22156.8696,,20852.8,,,,
453.35739,13826.2439,,16330.0952,,13663.6271,,18346.2261,,15208,,,,,
453.52409,,17630.5041,,22342.254,,17418.7797,,22205.0087,,20879.6667,,,,
453.69073,13861.6585,,16328.6667,,13691.7966,,18404.0696,,15224.6,,,,,
453.85744,,17610.0488,,22348.0635,,17354.3729,,22232.1391,,20825.6333,,,,
454.02408,13821.9837,,16302.1905,,13673.5254,,18379.3043,,15159.9667,,,,,
454.19078,,17654.1138,,22361.9365,,17394.5085,,22195.7565,,20886.4333,,,,
454.35742,13812.2927,,16307.5873,,13672.8475,,18423.513,,15208.3667,,,,,
454.52412,,17633.7561,,22323.4286,,17406.6102,,22185.0435,,20874.3667,,,,
454.69083,13845.4634,,16321.9365,,13665.0847,,18390.1913,,15199.3,,,,,
454.85746,,17664,,22285.5238,,17429.4576,,22225.2522,,20875.2,,,,
455.02417,13806.5041,,16315.1746,,13667.7288,,18380.2087,,15179.1333,,,,,
455.19081,,17620.7154,,22384.8254,,17385.2203,,22194.0522,,20853.5667,,,,
455.35751,13810.7317,,16298.5397,,13645.9661,,18371.7565,,15175.1667,,,,,
455.52415,,17604.2602,,22341.9048,,17384.1695,,22225.1478,,20878.8667,,,,
455.69085,13792.4553,,16321.1746,,13679.322,,18365.6,,15189.5333,,,,,
455.85756,,17604.813,,22308.381,,17419.7627,,22204.5913,,20871.1,,,,
456.02419,13817.7561,,16317.2698,,13653.9661,,18374.8174,,15188.1,,,,,
456.1909,,17609.2033,,22357.8095,,17376.8475,,22182.713,,20898.3667,,,,
456.35754,13831.0894,,16323.1111,,13672.8136,,18367.513,,15203.6,,,,,
456.52424,,17618.0163,,22349.7143,,17378.9492,,22224.0696,,20891.6333,,,,
456.69088,13799.8374,,16364.9524,,13704.4068,,18358.4696,,15184.8667,,,,,
456.85758,,17572.9431,,22333.8095,,17373.9661,,22171.3043,,20852.9667,,,,
457.02422,13795.2846,,16325.746,,13670,,18374.9565,,15177.3333,,,,,
457.19093,,17558.7317,,22374.5397,,17430.9492,,22197.0435,,20871.3333,,,,
457.35763,13814.9268,,16333.1111,,13662.678,,18388.487,,15188.8667,,,,,
457.52427,,17612.0976,,22343.5238,,17369.3559,,22207.0609,,20861.4667,,,,
457.69097,13821.2358,,16324.6349,,13681.8983,,18370.3304,,15163.4333,,,,,
457.85761,,17616.2927,,22294.381,,17410.1017,,22188.1391,,20862.2333,,,,
458.02431,13825.4634,,16307.4603,,13679.9661,,18381.6,,15182.3,,,,,
458.19095,,17629.2358,,22319.0794,,17376.6102,,22235.7913,,20868.9667,,,,
458.35766,13802.1463,,16306.4444,,13670.6102,,18358.9565,,15176.7333,,,,,
458.52436,,17603.0894,,22291.619,,17398.1017,,22156.6609,,20870.7667,,,,
458.691,13825.9512,,16300.5714,,13671.7627,,18376.5217,,15179.5667,,,,,
458.8577,,17639.1545,,22278.0952,,17419.2203,,22199.687,,20829.2,,,,
459.02434,13826.9593,,16270,,13669.661,,18368.2087,,15182.3333,,,,,
459.19105,,17612.6829,,22340,,17405.0508,,22174.6783,,20881.8667,,,,
459.35768,13812.3577,,16310.0952,,13666.8475,,18401.3565,,15191.0667,,,,,
459.52439,,17603.6423,,22315.1111,,17420.4068,,22205.4609,,20863.7333,,,,
459.69109,13814.0813,,16283.1111,,13695.322,,18349.1478,,15199.2667,,,,,
459.85773,,17613.8537,,22324.5079,,17413.7288,,22186.6435,,20859.3,,,,
460.02443,13803.0569,,16299.2381,,13643.8983,,18391.2348,,15136.3333,,,,,
460.19107,,17626.8293,,22337.7778,,17420.2034,,22197.3217,,20821.5667,,,,
460.35778,13818.8618,,16297.8413,,13687.5593,,18364.9739,,15191.0333,,,,,
460.52442,,17644.813,,22286.9524,,17393.661,,22166.5739,,20849.7667,,,,
460.69112,13828.7805,,16314.3175,,13684,,18387.2348,,15126.3667,,,,,
460.85776,,17637.7886,,22344.1905,,17365.8983,,22201.3565,,20855.0333,,,,
461.02446,13845.0732,,16324.5079,,13668.339,,18411.5826,,15170.6333,,,,,
461.19117,,17574.9593,,22355.9365,,17390.3051,,22208.9391,,20845.9667,,,,
461.3578,13806.1138,,16307.873,,13669.6949,,18383.3391,,15169.2,,,,,
461.52451,,17613.5935,,22342.5714,,17410.4407,,22204.2783,,20854.8,,,,
461.69115,13799.0569,,16298.0317,,13675.0847,,18401.8087,,15160.1333,,,,,
461.85785,,17570.7317,,22318.0952,,17393.3898,,22189.4609,,20870.6,,,,
462.02449,13800.2927,,16298.3492,,13662.1695,,18353.8087,,15145.5333,,,,,
462.19119,,17567.3496,,22328.9841,,17362.0339,,22213.6348,,20856.5333,,,,
462.3579,13795.6423,,16294.4762,,13695.0508,,18329.6348,,15185,,,,,
462.52453,,17577.2683,,22291.3016,,17368.8814,,22209.3913,,20848.6333,,,,
462.69124,13788.2927,,16291.9048,,13685.0508,,18387.8957,,15160.2333,,,,,
462.85788,,17576.5528,,22326.2222,,17424.4068,,22224.9739,,20860.5,,,,
463.02458,13812,,16279.3968,,13660.0678,,18359.8609,,15146,,,,,
463.19122,,17640.3902,,22311.5556,,17420.8475,,22232.5565,,20857.4333,,,,
463.35792,13822.6992,,16290.4127,,13648.4407,,18371.7913,,15166.7333,,,,,
463.52463,,17590.3415,,22309.9365,,17407.1525,,22211.3391,,20880.7667,,,,
463.69127,13815.8699,,16288.9524,,13675.0169,,18368.9739,,15156.2,,,,,
463.85797,,17599.4146,,22345.3333,,17399.0169,,22189.8087,,20858.9,,,,
464.02461,13802.439,,16287.7143,,13658.678,,18352.313,,15172.4,,,,,
464.19131,,17628,,22337.4921,,17413.9322,,22238.1217,,20872.9,,,,
464.35795,13777.0407,,16280.381,,13672.3051,,18392.1043,,15180.1333,,,,,
464.52465,,17588.2276,,22332.0635,,17429.2203,,22216.5565,,20905.2667,,,,
464.69129,13798.8293,,16321.3968,,13668.2373,,18344.9043,,15171.1667,,,,,
464.858,,17560.9106,,22284.5397,,17431.6949,,22223.8957,,20859.7333,,,,
465.0247,13832.2602,,16309.0159,,13653.1864,,18354.9217,,15163.9333,,,,,
465.19134,,17609.8537,,22304.4127,,17427.4237,,22250.087,,20941.9333,,,,
465.35804,13808.3577,,16289.7143,,13671.9661,,18388.1043,,15163.6667,,,,,
465.52468,,17570.1138,,22346.0317,,17432.0678,,22178.8174,,20903.8,,,,
465.69139,13776.6504,,16280.5397,,13646.0678,,18355.687,,15144.8333,,,,,
465.85802,,17568.3902,,22295.7778,,17421.0508,,22202.5391,,20927.8333,,,,
466.02473,13793.9187,,16281.6508,,13696.3051,,18364.2087,,15153.9333,,,,,
466.19143,,17619.4472,,22280.2222,,17384.0339,,22183.2,,20892.1333,,,,
466.35807,13763.122,,16300.4444,,13664.5424,,18379.6174,,15120.3333,,,,,
466.52477,,17576.3902,,22347.9048,,17394.2034,,22232.7652,,20865.4,,,,
466.69141,13771.8374,,16293.9683,,13680.678,,18399.5478,,15147.9,,,,,
466.85812,,17548.8455,,22314.9841,,17418.3051,,22200.5913,,20857.9333,,,,
467.02475,13782.9919,,16323.0794,,13660.7458,,18390.2609,,15137.2667,,,,,
467.19146,,17534.9919,,22346.9524,,17371.7627,,22198.6435,,20846.1333,,,,
467.35816,13779.7724,,16322.4127,,13654.678,,18397.8435,,15156.8333,,,,,
467.5248,,17596.5203,,22305.7143,,17390.2034,,22220.0696,,20868.1,,,,
467.6915,13784.4553,,16320.5079,,13663.8983,,18395.8261,,15153.3667,,,,,
467.85814,,17589.1707,,22304.7302,,17397.3559,,22212.1391,,20862.9333,,,,
468.02485,13768.748,,16301.5556,,13660.1695,,18389.0435,,15156.4667,,,,,
468.19149,,17571.252,,22329.2698,,17389.2881,,22193.8435,,20856.7667,,,,
468.35819,13796.8455,,16273.2063,,13637.7966,,18402.9565,,15173.8,,,,,
468.52483,,17608.3252,,22323.3333,,17395.9322,,22227.3739,,20850.6333,,,,
468.69153,13794.8943,,16330,,13681.9661,,18400.4174,,15146.7333,,,,,
468.85824,,17594.4065,,22323.7778,,17393.7288,,22223.2,,20888.6667,,,,
469.02487,13768.6179,,16314.3175,,13656.5085,,18379.3043,,15184.4333,,,,,
469.19158,,17544.2927,,22321.619,,17378.8814,,22169.4261,,20840.1,,,,
469.35822,13815.0894,,16286.0952,,13682.5424,,18379.1304,,15178.1,,,,,
469.52492,,17512.2276,,22350.254,,17381.0169,,22200.4174,,20862.7,,,,
469.69156,13779.7073,,16288.254,,13654.0678,,18357.913,,15186.1667,,,,,
469.85826,,17546.9593,,22306.6984,,17370.9153,,22260.8348,,20837.8333,,,,
470.02497,13798.8293,,16313.1746,,13657.5254,,18378.087,,15187.1667,,,,,
470.19161,,17564.748,,22291.9365,,17424.0678,,22228.5217,,20852.0333,,,,
470.35831,13817.9187,,16283.6508,,13678.8136,,18412.2783,,15186.1667,,,,,
470.52495,,17562.1463,,22302.0635,,17419.8644,,22258.6435,,20865.4333,,,,
470.69165,13801.7561,,16300.5397,,13709.322,,18391.687,,15173.2667,,,,,
470.85829,,17574.439,,22351.9365,,17381.7627,,22197.0435,,20876.5667,,,,
471.02499,13801.2358,,16309.3968,,13694.7119,,18396.0348,,15123.9333,,,,,
471.1917,,17554.5366,,22345.9048,,17401.5932,,22221.7739,,20868.7667,,,,
471.35834,13807.2846,,16300.6984,,13673.6949,,18416.9391,,15175.8333,,,,,
471.52504,,17575.5447,,22334.127,,17418.4407,,22235.8957,,20883.7,,,,
471.69168,13778.3089,,16318.254,,13659.8983,,18400.0696,,15158.1333,,,,,
471.85838,,17574.2114,,22330.6349,,17411.1186,,22211.513,,20844.5,,,,
472.02502,13759.6748,,16279.746,,13646.7797,,18381.7391,,15180.6333,,,,,
472.19172,,17573.7236,,22285.4603,,17377.8305,,22186.2609,,20856.0333,,,,
472.35843,13797.2358,,16272.6667,,13663.8305,,18382.6435,,15172.6,,,,,
472.52507,,17563.252,,22313.9683,,17354.7119,,22225.7739,,20834.9,,,,
472.69177,13799.7073,,16253.4921,,13662.2373,,18427.6522,,15178.1667,,,,,
472.85841,,17576.065,,22320.4127,,17416.8475,,22214.1913,,20863.7,,,,
473.02511,13797.2358,,16309.0159,,13649.7966,,18413.8435,,15182.8,,,,,
473.19175,,17552.813,,22290.7937,,17406.6102,,22229.2174,,20857.2333,,,,
473.35846,13816.2276,,16289.9365,,13668.4407,,18404.6957,,15183.9333,,,,,
473.52509,,17595.187,,22322.3175,,17409.5254,,22246.4,,20868.1667,,,,
473.6918,13774.8943,,16288.6032,,13694.9492,,18400.1391,,15184.2333,,,,,
473.8585,,17552.1951,,22334.9206,,17407.8644,,22201.8435,,20892.0667,,,,
474.02514,13819.9024,,16297.4286,,13676.6441,,18388.9739,,15171.2667,,,,,
474.19184,,17545.1382,,22347.1111,,17390.9492,,22217.3217,,20873.6667,,,,
474.35848,13786.1463,,16289.1111,,13712.5763,,18351.1304,,15171.7667,,,,,
474.52519,,17546.8618,,22333.4921,,17370.339,,22254.0522,,20868.2333,,,,
474.69183,13781.2683,,16296.9206,,13642.1017,,18419.2,,15178.4667,,,,,
474.85853,,17576.5854,,22351.6508,,17358.4068,,22181.0783,,20888.8333,,,,
475.02523,13825.5285,,16311.9048,,13665.1864,,18363.1652,,15186.8333,,,,,
475.19187,,17545.0081,,22325.1746,,17380.4746,,22179.4783,,20808.2667,,,,
475.35858,13796,,16335.1746,,13666.6441,,18328.5217,,15152.2333,,,,,
475.52521,,17537.2683,,22352.8889,,17387.9661,,22202.1217,,20843.1,,,,
475.69192,13801.5935,,16313.2063,,13666.7458,,18370.6087,,15166.5333,,,,,
475.85856,,17587.4797,,22318.0952,,17411.1864,,22189.9826,,20871.7667,,,,
476.02526,13812.1951,,16302.7937,,13666.2373,,18362.087,,15158.1667,,,,,
476.19196,,17559.935,,22345.4921,,17359.0847,,22186.4696,,20822.8,,,,
476.3586,13811.7073,,16322.4762,,13656.7797,,18392.4522,,15205.6333,,,,,
476.52531,,17528.1301,,22370.7619,,17371.7966,,22164.3478,,20867.2333,,,,
476.69195,13777.7886,,16303.873,,13658.1695,,18377.8435,,15162.4333,,,,,
476.85865,,17589.2033,,22310.6349,,17374.5085,,22180.3478,,20865.6333,,,,
477.02529,13793.2033,,16297.9048,,13661.6949,,18384.6609,,15170.5,,,,,
477.19199,,17568.878,,22337.5238,,17389.0169,,22176.313,,20853.7,,,,
477.35863,13785.1707,,16299.0794,,13673.8983,,18388.5565,,15164.0667,,,,,
477.52533,,17561.3333,,22333.5238,,17394.3051,,22160.1739,,20853.2,,,,
477.69204,13799.9675,,16291.4286,,13659.8983,,18352.2087,,15146.2667,,,,,
